date,FA703130005.Q,FA763130005.Q,FA753130005.Q,FA743130003.Q,FA473130005.Q,FA703130005.Q,FA153030005.Q,FA143030005.Q,FA103030003.Q,FA113030003.Q,FA313030003.Q,FA213030005.Q,FA793030005.Q,FA573030005.Q,FA223030045.Q,FA633030000.Q,FA403030005.Q,FA613030003.Q,FA733030003.Q,FA263030005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6535.00,6456.00,16.00,0.00,63.00,6535.00,6338.00,0.00,0.00,0.00,16.00,179.00,-2.00,0.00,0.00,0.00,0.00,-2.00,0.00,4.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3595.00,3534.00,-20.00,0.00,81.00,3595.00,3479.00,0.00,0.00,0.00,-9.00,159.00,-16.00,0.00,0.00,0.00,0.00,-16.00,0.00,-18.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2543.00,2457.00,-7.00,0.00,93.00,2543.00,2201.00,0.00,0.00,0.00,6.00,271.00,44.00,0.00,0.00,0.00,0.00,44.00,0.00,21.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2981.00,2860.00,23.00,0.00,98.00,2981.00,2594.00,0.00,0.00,0.00,65.00,152.00,28.00,0.00,0.00,0.00,0.00,28.00,0.00,142.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,2743.00,2574.00,20.00,0.00,149.00,2743.00,2365.00,0.00,0.00,0.00,8.00,101.00,42.00,0.00,0.00,0.00,0.00,42.00,0.00,227.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,4951.00,4711.00,15.00,0.00,225.00,4951.00,4970.00,0.00,0.00,0.00,88.00,152.00,29.00,0.00,0.00,0.00,0.00,29.00,0.00,-288.00
1952:Q1,7552.00,7304.00,40.00,0.00,208.00,7552.00,5900.00,0.00,0.00,0.00,48.00,152.00,1476.00,1468.00,0.00,0.00,0.00,8.00,0.00,-24.00
1952:Q2,8088.00,7740.00,56.00,0.00,292.00,8088.00,8076.00,0.00,0.00,0.00,108.00,-308.00,64.00,56.00,0.00,0.00,0.00,8.00,0.00,148.00
1952:Q3,6864.00,6504.00,56.00,0.00,304.00,6864.00,6368.00,0.00,0.00,0.00,32.00,560.00,68.00,60.00,0.00,0.00,0.00,8.00,0.00,-164.00
1952:Q4,10264.00,9908.00,56.00,0.00,300.00,10264.00,9552.00,0.00,0.00,0.00,104.00,-64.00,68.00,60.00,0.00,0.00,0.00,8.00,0.00,604.00
1953:Q1,8404.00,8092.00,52.00,0.00,260.00,8404.00,8300.00,0.00,0.00,0.00,-24.00,-120.00,68.00,64.00,0.00,0.00,0.00,4.00,0.00,180.00
