date,FU156010001.Q,FU156210005.Q,FU156012005.Q,FU156900005.Q,FU156007015.Q,FU313154015.Q,FU156600075.Q,FU155111005.Q,FU156300005.Q,FU155440005.Q,FU156000105.Q,FU155090005.Q,FU155050005.Q,FU155111003.Q,FU155012005.Q,FU165013005.Q,FU155420003.Q,FU155000005.Q,FU154090005.Q,FU153091003.Q,FU153020005.Q,FU153030005.Q,FU153034005.Q,FU154022005.Q,FU153061105.Q,FU153061705.Q,FU153062005.Q,FU153063005.Q,FU154023005.Q,FU153069005.Q,FU153065005.Q,FU163066223.Q,FU153064105.Q,FU153064205.Q,FU163070005.Q,FU153040005.Q,FU153050005.Q,FU152090205.Q,FU153090005.Q,FU154190005.Q,FU163162003.Q,FU154123005.Q,FU153165105.Q,FU153166000.Q,FU153168005.Q,FU153169005.Q,FU163165505.Q,FU163170005.Q,FU543077073.Q,FU157005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,182668.00,17210.00,165458.00,145883.00,19575.00,1320.00,0.00,5135.00,12997.00,878.00,38149.00,40061.00,23253.00,15862.00,6794.00,597.00,0.00,16808.00,23665.00,0.00,5198.00,6338.00,0.00,-2354.00,-1390.00,32.00,-52.00,-944.00,1561.00,39.00,1522.00,0.00,1008.00,185.00,0.00,3800.00,6555.00,571.00,803.00,6857.00,0.00,6625.00,4394.00,2977.00,-116.00,-728.00,98.00,167.00,65.00,-1912.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,194616.00,19790.00,174826.00,163804.00,11022.00,1116.00,0.00,7784.00,15600.00,996.00,34526.00,38606.00,31588.00,20447.00,10394.00,747.00,0.00,7018.00,16045.00,0.00,-120.00,3479.00,0.00,-174.00,-62.00,55.00,641.00,-808.00,1286.00,-73.00,1359.00,0.00,1079.00,163.00,0.00,3150.00,6558.00,86.00,538.00,9027.00,0.00,8846.00,5167.00,3521.00,-18.00,84.00,92.00,100.00,81.00,-4080.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
