date,FU894122005.Q,FU893169175.Q,FU313161105.Q,FU893161705.Q,FU383162005.Q,FU893163005.Q,FU894122005.Q,FU384122005.Q,FU163162003.Q,FU104122005.Q,FU314122005.Q,FU213162005.Q,FU794122005.Q,FU764122005.Q,FU753169603.Q,FU403161705.Q,FU413065005.Q,FU674122005.Q,FU614122005.Q,FU644122005.Q,FU663163003.Q,FU734122005.Q,FU504122005.Q,FU264122005.Q,FU894122005.Q,FU384022005.Q,FU154022005.Q,FU104022005.Q,FU114022005.Q,FU314022005.Q,FU214022005.Q,FU794022005.Q,FU714022005.Q,FU764022005.Q,FU754022005.Q,FU744022003.Q,FU474022005.Q,FU514022005.Q,FU544022005.Q,FU574022005.Q,FU344022005.Q,FU224022045.Q,FU634022005.Q,FU654022005.Q,FU554022005.Q,FU564022005.Q,FU404022005.Q,FU674022005.Q,FU613063003.Q,FU644022005.Q,FU664022005.Q,FU734022605.Q,FU504022005.Q,FU264022005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-21534.00,258.00,-22876.00,92.00,69.00,923.00,-21534.00,-22015.00,0.00,995.00,-23079.00,69.00,573.00,58.00,15.00,295.00,0.00,0.00,205.00,0.00,0.00,0.00,0.00,-92.00,-21534.00,-8747.00,-2354.00,-5636.00,0.00,0.00,-757.00,-12055.00,-912.00,-14358.00,-17.00,-52.00,0.00,594.00,2743.00,249.00,370.00,258.00,0.00,32.00,6.00,0.00,5.00,0.00,0.00,0.00,-1067.00,0.00,94.00,-732.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,-1566.00,192.00,-6371.00,79.00,1611.00,2923.00,-1566.00,-1949.00,0.00,2848.00,-6408.00,1611.00,404.00,28.00,7.00,116.00,0.00,0.00,253.00,0.00,0.00,0.00,0.00,-21.00,-1566.00,147.00,-174.00,-354.00,0.00,0.00,675.00,-2370.00,-791.00,-4345.00,-1.00,-105.00,15.00,732.00,1420.00,251.00,823.00,321.00,0.00,5.00,60.00,0.00,-31.00,0.00,0.00,0.00,-743.00,0.00,19.00,657.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
