date,FU907005005.Q,FU903012005.Q,FU903091005.Q,FU904010005.Q,FU902050005.Q,FU903020005.Q,FU903023005.Q,FU903028003.Q,FU903029200.Q,FU903070005.Q,FU903078005.Q,FU903090005.Q,FU906000105.Q,FU087005005.Q,FU156600075.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-3891.00,-97.00,0.00,-498.00,-9.00,883.00,603.00,0.00,280.00,2917.00,-7757.00,1893.00,-1223.00,1223.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,-13093.00,-28.00,0.00,125.00,-80.00,-814.00,-1553.00,0.00,739.00,-1700.00,-7517.00,-227.00,-2852.00,2852.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,-7140.00,-32.00,0.00,-148.00,-10.00,-326.00,52.00,0.00,-378.00,754.00,-7326.00,-324.00,272.00,-272.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,-8067.00,-28.00,0.00,66.00,3.00,368.00,79.00,0.00,289.00,1110.00,-7330.00,-538.00,-1718.00,1718.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,-9717.00,-48.00,0.00,99.00,-45.00,374.00,-199.00,0.00,573.00,-1433.00,-8186.00,770.00,-1248.00,1248.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,-19469.00,-49.00,0.00,-794.00,-114.00,202.00,-10.00,0.00,212.00,-2752.00,-8995.00,-3528.00,-3439.00,3421.00,18.00
1952:Q1,-9983.00,-7.00,0.00,-21.00,-200.00,-2844.00,-1235.00,0.00,-1609.00,-3829.00,-1773.00,-744.00,-565.00,278.00,287.00
1952:Q2,-2872.00,-16.00,0.00,-202.00,-229.00,1951.00,574.00,0.00,1377.00,-971.00,-2380.00,-681.00,-344.00,244.00,100.00
1952:Q3,-6207.00,-18.00,0.00,674.00,-632.00,-1398.00,150.00,14.00,-1562.00,-1541.00,-1973.00,-867.00,-452.00,521.00,-69.00
1952:Q4,1033.00,-25.00,0.00,-560.00,273.00,3304.00,-136.00,45.00,3395.00,2512.00,-2654.00,-578.00,-1239.00,1535.00,-296.00
1953:Q1,-9513.00,-11.00,0.00,33.00,166.00,-2359.00,-559.00,47.00,-1847.00,-2905.00,-3228.00,-791.00,-418.00,70.00,348.00
1953:Q2,-2168.00,-15.00,0.00,-17.00,139.00,1218.00,405.00,49.00,764.00,1344.00,-3378.00,-592.00,-867.00,752.00,115.00
1953:Q3,-4702.00,-11.00,0.00,358.00,-813.00,-1413.00,17.00,56.00,-1486.00,-378.00,-1362.00,-615.00,-468.00,531.00,-63.00
1953:Q4,678.00,-11.00,0.00,-508.00,643.00,2959.00,322.00,69.00,2568.00,2937.00,-1580.00,-1729.00,-2033.00,2410.00,-377.00
1954:Q1,-9394.00,-19.00,0.00,-311.00,521.00,-2680.00,-518.00,59.00,-2221.00,-2346.00,-4146.00,-511.00,98.00,-498.00,400.00
1954:Q2,-3867.00,-14.00,0.00,254.00,-51.00,807.00,225.00,26.00,556.00,685.00,-4176.00,-567.00,-805.00,622.00,183.00
1954:Q3,-3355.00,-10.00,0.00,258.00,-743.00,-1191.00,476.00,-19.00,-1648.00,-476.00,-103.00,-305.00,-785.00,867.00,-82.00
1954:Q4,2448.00,-12.00,0.00,-736.00,780.00,3173.00,434.00,-81.00,2820.00,2687.00,-1077.00,-956.00,-1411.00,1886.00,-475.00
