date,FL164090005.A,FL163020005.A,FL163030205.A,LM164022005.A,LM163061005.A,LM163063005.A,FL164023005.A,FL163065013.A,FL163066223.A,FL164041005.A,LM163064005.A,FL163070005.A,FL163093005.A,FL164190005.A,FL163162003.A,FL164123005.A,FL163168005.A,FL163169385.A,FL163165505.A,FL163170005.A,FL163193005.A,FL164090015.A,FL164090025.A
1987,554090.00,16434.00,89030.00,55478.00,37051.00,18427.00,22589.00,482.00,0.00,22107.00,169848.00,51818.00,148893.00,305842.00,78073.00,76338.00,22253.00,334.00,53751.00,43228.00,108203.00,101207.00,452883.00
1988,610767.00,16953.00,76180.00,65217.00,43029.00,22188.00,24123.00,416.00,0.00,23707.00,204867.00,54690.00,168737.00,323183.00,79564.00,82528.00,23871.00,325.00,58332.00,45844.00,115247.00,112901.00,497866.00
1989,734799.00,15940.00,79997.00,87237.00,57360.00,29877.00,26509.00,475.00,0.00,26034.00,271123.00,60646.00,193347.00,368001.00,82715.00,92526.00,26694.00,278.00,65554.00,62362.00,130398.00,143552.00,591247.00
1990,772274.00,17252.00,84557.00,93664.00,60123.00,33541.00,28480.00,666.00,0.00,27814.00,262954.00,66517.00,218850.00,404782.00,85694.00,102626.00,29229.00,545.00,72852.00,73444.00,143018.00,146838.00,625436.00
1991,945271.00,21265.00,94747.00,110153.00,68664.00,41489.00,29645.00,806.00,0.00,28839.00,351388.00,70661.00,267412.00,457277.00,89511.00,114709.00,32180.00,921.00,81608.00,82501.00,170556.00,185442.00,759829.00
1992,1028492.00,22486.00,96776.00,117551.00,71980.00,45571.00,31446.00,886.00,0.00,30560.00,397332.00,73152.00,289749.00,495753.00,91891.00,123894.00,34885.00,733.00,88277.00,87228.00,192740.00,190201.00,838291.00
1993,1145925.00,24126.00,103669.00,129855.00,77533.00,52322.00,34485.00,999.00,0.00,33486.00,455202.00,77396.00,321192.00,536556.00,92952.00,123840.00,23963.00,796.00,99081.00,95214.00,224550.00,209663.00,936262.00
1994,1201451.00,26794.00,106700.00,125099.00,75445.00,49654.00,38632.00,897.00,0.00,37735.00,490121.00,81979.00,332126.00,576219.00,96138.00,122849.00,23622.00,938.00,98289.00,99637.00,257595.00,216117.00,985334.00
1995,1532110.00,29651.00,109517.00,161343.00,97020.00,64323.00,44018.00,968.00,0.00,43050.00,698930.00,85891.00,402760.00,637273.00,96359.00,122652.00,23694.00,824.00,98134.00,109747.00,308515.00,258213.00,1273897.00
1996,1782673.00,31574.00,129954.00,166362.00,99434.00,66928.00,50235.00,991.00,0.00,49244.00,880620.00,93226.00,430702.00,698497.00,102440.00,126497.00,24447.00,853.00,101198.00,118730.00,350830.00,279190.00,1503483.00
1997,2219470.00,34307.00,144485.00,204769.00,115629.00,89140.00,55294.00,1026.00,0.00,54268.00,1170252.00,100700.00,509663.00,762958.00,109571.00,130887.00,25489.00,689.00,104710.00,128245.00,394255.00,332889.00,1886581.00
1998,2397533.00,37085.00,153058.00,176587.00,91455.00,85132.00,59343.00,1056.00,0.00,58287.00,1374160.00,110567.00,486733.00,607679.00,121329.00,143428.00,28096.00,590.00,114742.00,135919.00,207003.00,386433.00,2011100.00
1999,2797003.00,39325.00,162553.00,192857.00,102600.00,90257.00,67984.00,1217.00,0.00,66767.00,1686225.00,113485.00,534574.00,644383.00,131742.00,147526.00,28793.00,712.00,118021.00,141695.00,223420.00,451795.00,2345208.00
2000,2717241.00,44020.00,174151.00,224478.00,114417.00,110061.00,76362.00,1842.00,0.00,74520.00,1503517.00,123585.00,571128.00,712820.00,137501.00,161583.00,31892.00,426.00,129266.00,147822.00,265914.00,456324.00,2260917.00
2001,2585014.00,51348.00,181456.00,236688.00,113894.00,122794.00,82402.00,1562.00,0.00,80840.00,1320679.00,124469.00,587972.00,804939.00,151328.00,174325.00,34499.00,366.00,139460.00,146821.00,332465.00,438093.00,2146921.00
2002,2389204.00,53950.00,193322.00,234854.00,104029.00,130825.00,100258.00,1618.00,0.00,98640.00,1080150.00,129205.00,597465.00,895381.00,163897.00,186439.00,36840.00,448.00,149151.00,164244.00,380801.00,395274.00,1993930.00
2003,2875883.00,60079.00,205501.00,246622.00,112421.00,134201.00,107962.00,1374.00,0.00,106588.00,1456958.00,133611.00,665150.00,942921.00,177703.00,193913.00,38437.00,346.00,155131.00,170844.00,400461.00,455917.00,2419966.00
2004,3188378.00,63086.00,218363.00,246790.00,113109.00,133681.00,116315.00,1241.00,0.00,115074.00,1666674.00,143203.00,733947.00,1003586.00,202496.00,199877.00,39975.00,0.00,159902.00,188685.00,412528.00,488637.00,2699741.00
2005,3430507.00,66754.00,233212.00,240596.00,112941.00,127655.00,114065.00,1191.00,0.00,112874.00,1787401.00,153084.00,835395.00,1050333.00,216942.00,209676.00,41935.00,0.00,167741.00,202782.00,420933.00,521246.00,2909261.00
2006,4023997.00,74378.00,264214.00,254412.00,124026.00,130386.00,208563.00,1141.00,74840.00,132582.00,2168914.00,161225.00,892291.00,1167881.00,233384.00,231644.00,46329.00,0.00,185315.00,219262.00,483591.00,617609.00,3406388.00
2007,4181905.00,80178.00,285378.00,255697.00,118806.00,136891.00,225663.00,1128.00,82536.00,141999.00,2235360.00,171196.00,928433.00,1256940.00,255799.00,247870.00,49574.00,0.00,198296.00,237099.00,516172.00,615645.00,3566260.00
2008,3049545.00,77781.00,301968.00,251461.00,123245.00,128216.00,230610.00,1009.00,88922.00,140679.00,1196535.00,178714.00,812476.00,1331217.00,266457.00,245831.00,38764.00,0.00,207067.00,261322.00,557607.00,507567.00,2541978.00
2009,3559833.00,87273.00,301186.00,290683.00,123204.00,167479.00,220552.00,879.00,82528.00,137145.00,1550153.00,177953.00,932033.00,1420346.00,273308.00,246838.00,49594.00,0.00,197244.00,303092.00,597108.00,560281.00,2999552.00
2010,4068064.00,97358.00,299365.00,279606.00,104853.00,174753.00,207067.00,902.00,71327.00,134838.00,1892011.00,184220.00,1108437.00,1434968.00,272045.00,246967.00,48652.00,0.00,198315.00,273871.00,642085.00,606863.00,3461201.00
2011,4117687.00,104780.00,294775.00,289090.00,107628.00,181462.00,192394.00,950.00,67074.00,124370.00,1886669.00,198583.00,1151396.00,1519575.00,264565.00,254086.00,50049.00,0.00,204037.00,293861.00,707063.00,609264.00,3508423.00
2012,4625784.00,110991.00,309861.00,285593.00,97826.00,187767.00,183113.00,1135.00,58023.00,123955.00,2251977.00,207589.00,1276660.00,1589322.00,250670.00,269331.00,56581.00,0.00,212750.00,301018.00,768303.00,658093.00,3967691.00
2013,5543056.00,121822.00,316014.00,260059.00,87544.00,172515.00,185791.00,791.00,51839.00,133161.00,3035668.00,213230.00,1410472.00,1609556.00,236230.00,276251.00,54585.00,0.00,221666.00,295409.00,801666.00,743110.00,4799946.00
