date,FL703130005.Q,FL763130005.Q,FL753130005.Q,FL743130003.Q,FL473130005.Q,FL703130005.Q,FL153030005.Q,FL143030005.Q,FL103030003.Q,FL113030003.Q,FL313030003.Q,FL213030005.Q,FL793030005.Q,FL573030005.Q,FL223030045.Q,FL633030000.Q,FL403030005.Q,FL613030003.Q,FL733030003.Q,FL263030005.Q
1945:Q4,53501.00,53074.00,61.00,0.00,366.00,53501.00,50230.00,900.00,900.00,0.00,104.00,529.00,160.00,0.00,0.00,0.00,0.00,160.00,0.00,1578.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,60036.00,59530.00,77.00,0.00,429.00,60036.00,56568.00,900.00,900.00,0.00,120.00,708.00,158.00,0.00,0.00,0.00,0.00,158.00,0.00,1582.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,63631.00,63064.00,57.00,0.00,510.00,63631.00,60047.00,900.00,900.00,0.00,111.00,867.00,142.00,0.00,0.00,0.00,0.00,142.00,0.00,1564.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
